epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4644,1.10432,5.28447,1.20101,0.61482,0.02339,0.03159,0.02462,0.96477,4.63698,1.11452,9.76e-06,9.76e-06,9.76e-06
2,62.0799,1.08216,4.94626,1.23206,0.011,0.2405,0.04241,0.02882,0.97427,4.17202,1.11606,1.86867e-05,1.86867e-05,1.86867e-05
3,79.0314,1.01988,4.38101,1.1684,0.38224,0.04032,0.05337,0.04067,0.98163,3.64647,1.11231,2.54394e-05,2.54394e-05,2.54394e-05
4,96.3179,0.98578,3.84646,1.13382,0.37205,0.07326,0.08546,0.06769,0.98474,3.0874,1.11352,3.00181e-05,3.00181e-05,3.00181e-05
5,114.207,1.00009,3.27853,1.15371,0.52975,0.09588,0.12429,0.10017,0.98924,2.82708,1.12342,3.24227e-05,3.24227e-05,3.24227e-05
6,130.22,0.93359,2.89653,1.12564,0.43486,0.15899,0.16533,0.13014,1.0064,2.58515,1.12482,3.26533e-05,3.26533e-05,3.26533e-05
7,148.106,0.92102,2.58379,1.10685,0.44898,0.18441,0.19471,0.1581,1.02482,2.39722,1.12985,3.07098e-05,3.07098e-05,3.07098e-05
8,226.354,0.92141,2.32971,1.11691,0.47329,0.20588,0.22581,0.18199,1.03355,2.31275,1.13622,2.65923e-05,2.65923e-05,2.65923e-05
9,240.91,0.90896,2.17122,1.1338,0.42272,0.24266,0.25273,0.20539,1.02291,2.19887,1.13587,2.03008e-05,2.03008e-05,2.03008e-05
10,255.355,0.85417,2.11298,1.08002,0.51056,0.23058,0.25988,0.21062,1.01636,2.174,1.13443,1.18352e-05,1.18352e-05,1.18352e-05
